source_profile_name,publication_label,PC1,PC2,display_group,included_main,included_SR_alternate,included_full_QC,source_model_id,source_file,source_row_identifier
Bupropion,Bupropion,-1.4235176467392554,-7.475882048723301,Antidepressant,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:2
Fluoxetine,Fluoxetine,7.265721510306285,1.0223903050744894,Antidepressant,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:3
Duloxetine,Duloxetine,10.36740137974746,0.5127696108008369,Antidepressant,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:4
Venlafaxine,Venlafaxine,6.413354077304392,0.3365728130169739,Antidepressant,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:5
Scopolamine,Scopolamine,13.63220610585164,3.2415241848432843,Cholinergic,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:6
Dextromethorphan,Dextromethorphan,-0.3226320566705607,-3.2281051740692766,NMDA/dissociative,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:7
Morphine,Morphine,10.525560561470593,-11.637930039916231,Analgesic/opioid,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:8
Propofol,Propofol,3.571742708464968,0.3647768496301779,Anesthetic/sedative,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:9
Dexmedetomidine,Dexmedetomidine,9.147027893071787,3.3936099523265977,Anesthetic/sedative,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:10
Lysergide (LSD),Lysergide (LSD),5.897977076480786,4.285444380205732,Serotonergic psychedelic,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:11
Psilocin,Psilocin,10.663578650898275,-1.17238526928567,Serotonergic psychedelic,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:12
Clozapine,Clozapine,9.880732252674083,3.3907369058881978,Antipsychotic,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:13
Chlorpromazine,Chlorpromazine,9.47882098472629,3.2777991217037683,Antipsychotic,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:14
Sertraline,Sertraline,-9.938547796123672,-2.1731258654108903,Antidepressant,True,True,True,GLOBAL_FIXED_REFERENCE_PCA|strict18_common_rhr|FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION|reference_roster_n=25|source_sha256=79cccb4dfa80c0ffb6f135ae31d5462939eb193a3d95b96af5c4a922775749c0,PROJECT_ROOT\04_KETAMINE_VS_DRUGS\Pooled_Parent_Ketamine_Final_Audit_And_Freeze_20260813_191547\06_UPDATED_GLOBAL_MODELS\GLOBAL_FIXED_REFERENCE_PCA_SCORES.csv,line:15
