analysis_id,representation,method,status,reason,sample_count,feature_count,rank,component_count,explained_variance_sum,iterations,converged,observed_reconstruction_rmse,input_roster,class_id,class_label,excluded_compounds,stress,seed,query_projection_status,query_projection_details,reference_roster,reference_axes_refit_with_query
ANALGESICS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS,,4,450.0,3.0,2.0,0.9999999999999997,39.0,True,5.765053094065912e-09,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",ANALGESICS,Analgesic context,,,,,,,
ANALGESICS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,Fewer than three numerical external reference compounds,4,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",ANALGESICS,Analgesic context,,,,,,,
ANALGESICS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS,,4,25.0,3.0,2.0,1.0,30.0,True,7.478313185550688e-10,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",ANALGESICS,Analgesic context,,,,,,,
ANALGESICS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,,4,5.0,3.0,2.0,1.0,34.0,True,2.3030295307529555e-09,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",ANALGESICS,Analgesic context,,,,,,,
ANALGESICS__RMS_PCOA,pairwise_rms,PCOA,PASS,,3,,1.0,1.0,1.0,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Morphine",ANALGESICS,Analgesic context,Dextromethorphan,,,,,,
ANALGESICS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,3,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Morphine",ANALGESICS,Analgesic context,Dextromethorphan,0.00010536379336019388,20260813.0,,,,
ANALGESICS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,3,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Morphine",ANALGESICS,Analgesic context,Dextromethorphan,,,,,,
ANESTHETIC_SEDATIVE__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,4,540.0,3.0,2.0,0.9999958491545663,300.0,False,0.0007238450120924764,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",ANESTHETIC_SEDATIVE,Anesthetic and sedative context,,,,,,,
ANESTHETIC_SEDATIVE__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,Fewer than three numerical external reference compounds,4,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",ANESTHETIC_SEDATIVE,Anesthetic and sedative context,,,,,,,
ANESTHETIC_SEDATIVE__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS,,4,30.0,3.0,2.0,0.999999999999999,124.0,True,5.6164181501985066e-09,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",ANESTHETIC_SEDATIVE,Anesthetic and sedative context,,,,,,,
ANESTHETIC_SEDATIVE__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,,4,4.0,1.0,1.0,1.0,1.0,True,1.6302709355362946e-16,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",ANESTHETIC_SEDATIVE,Anesthetic and sedative context,,,,,,,
ANESTHETIC_SEDATIVE__RMS_PCOA,pairwise_rms,PCOA,PASS,,4,,2.0,2.0,0.9999999999999999,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",ANESTHETIC_SEDATIVE,Anesthetic and sedative context,,,,,,,
